remedy,symptom_text,body_part,modality,source_book,severity,confidence_hint
Rheum,having may be given after abuse of magnesia with lately,,,,,
Crotalus Horridus,i am experiencing poison of rattlesnake (crotalidae),,,,,
Glonoine,"my problem is heat of stove or walking in the sun (lach., nat",,,,,
Chelidonium Majus,"i noticed persons of light complexion, blondes; thin, spare, irritable; subject",,,,,
Syphillinum,my problem is pains increase and decrease gradually,,,,,
Crotalus Horridus,"having purpura haemorrhagica; comes on suddenly from all orifices, skin, lately",,,,,
Emaciation of affected parts,"i am experiencing ac., in sexual weakness",,,,,
Staphisagria,"cough: only in the daytime, or only after dinner,",general,not specified,Allen,moderate,0.8
Pa,it hurts when for these invaluable additions to our,,,,,
Ammonium Carbonicum,having putrid sore throat; tendency to gangrenous ulceration of tonsils; lately,,,,,
Psorinum,"i noticed c.); profuse, offensive saliva; tough mucus in throat,",,,,,
Diphtherinum,it hurts when fail; post diphtheritic,,,,,
Alumina,"it gets worse when inactivity of rectum, even soft stool requires great straining",,,,,
Alumina,"i have physically and mentally, scarcely able to speak (carbo an., coc.)",,,,,
Alumina,"it gets worse when physically and mentally, scarcely able to speak (carbo an., coc.)",,,,,
Thuja Occidentalis,my problem is under the influence of a superior power,,,,,
Theridion Curassavicum,having least motion of head lately,,,,,
Benzoic Acid,my problem is excesses of uric acid,,,,,
Graphites,suffering from suffering parts,,,,,
Glonoine,i noticed feels enormously large; as if skull were too small for brain;,,,,,
Cina,"i am experiencing borborygmus, belching gives no relief (belching relieves, carbo",,,,,
Plumbum,i have (the metal.),,,,,
Aesculus Hippocastanum,"with burning, pricking, stinging and dry constricted fauces (apis,",general,not specified,Allen,moderate,0.8
Spigelia,(loganiaceae.),general,not specified,Allen,moderate,0.8
Lac Caninum,"very hungry, cannot eat enough to satisfy; as hungry after eating",general,not specified,Allen,moderate,0.8
Hepar Sulphuris,"suffering from sensitive to touch; while in hepar the skin is unhealthy,",,,,,
Chelidonium Majus,"face, forehead, nose, cheeks,",general,not specified,Allen,moderate,0.8
Inimical to Lachesis,i am experiencing aggravation,,,,,
Sulphur,i am experiencing congestion to single parts;,,,,,
Zincum Metallicum,"exanthemata or menstrual function, to expectorate, to urinate; to",general,not specified,Allen,moderate,0.8
Sil,i noticed amelioration,,,,,
Bacillinum,"it hurts when ""every time he takes a breath of fresh air"" (hep.)",,,,,
Phosphate of Magnesia,i am experiencing - bending double; heat; warmth; pressure (burning,,,,,
Ledum Palustre,"remaining discoloration after injuries: ""black and blue"" places",general,not specified,Allen,moderate,0.8
Calcarea Ostrearum,"having habitually cold and damp, as if they had on cold damp stockings; lately",,,,,
Antimony Crudum,"i am experiencing old people with morning diarrhoea, suddenly",,,,,
Terebinth,"- compare: alumen, arn., ars., canth., lach., nit",general,not specified,Allen,moderate,0.8
Spongia Tosta,"i have prolapsus, worse during stool (with diarrhoea, pod.); so weak she",,,,,
Cina,having standing; white and turbid; involuntary lately,,,,,
Apis Mellifica,anus were wide open (phos.),general,not specified,Allen,moderate,0.8
Petroleum,"i have ailments: from riding in a carriage, railroad car, or in a",,,,,
Asarum Europaeum,i noticed nausea: in attacks or constant,,,,,
Aesculus Hippocastanum,i am experiencing mucous membranes of,,,,,
Nux Vomica,i noticed m.; falls into a dreamy sleep at,,,,,
Cocculus,cocculus indicus (menispermaccae),general,not specified,Allen,moderate,0.8
Hypericum Perforatum,i feel preserves integrity of torn and lacerated members when,,,,,
Ruta Graveolens,"it hurts when bruised lame sensatoin all over,",,,,,
Sulphur,having ailments from the lately,,,,,
Cicuta Virosa,i am experiencing sycosis menti,,,,,
Syphillinum,having fissures in anus and rectum (thuja); prolapse of rectum; lately,,,,,
Kali Bichromicum,i noticed of appetite; weight in pit of stomach; flatulence; < soon after,,,,,
Lycopodium Clavatum,suffering from starts from sleep rubbing its nose; of root of nose and frontal,,,,,
Actaea Racemosa,"i have neuralgia; aching or sharp, darting, shooting pains in globes,",,,,,
Carbo Vegetabilis,i feel from the exhausting effects of some previous illness; asthma dates,,,,,
Pulsatilla,it hurts when ailments: from,,,,,
Magnesia Muratica,"i noticed eructations, tasting like rotten eggs, like",,,,,
Baryta Carbonica,my problem is children both physically and mentally weak,,,,,
Diphtherinum,i noticed has never known a second case of diphtheria to occur in a family,,,,,
Kali Bichromicum,"suffering from by lying down (worse when lying down, aral., lach.)",,,,,
Antimony Crudum,having fingernail do not grow rapidly; crushed nails grow is splits like lately,,,,,
Bacillinum,"suffering from green, fetid pus (sec.)",,,,,
Thuja Occidentalis,"i am experiencing - on edges, staph.); crumble, turn yellow (syph.)",,,,,
Secale Cornutum,my problem is eyes; blue rings around eyes,,,,,
Hepar Sulphuris,my problem is sulphuret of lime (cas),,,,,
Cannabis Sativa,"i am experiencing sticking, while urinating",,,,,
Fluoric acid,"i have in sensitive teeth; after, phos",,,,,
Melilotus Alba,"my problem is intensely red face; insanity, in early stages, to relieve brain from",,,,,
Drosera Rotundifolia,"suffering from during cough; vomiting of water,",,,,,
Picric Acid,- compare: arg,general,not specified,Allen,moderate,0.8
Pa,i feel differentiation,,,,,
Cina,it gets worse when require other drugs,,,,,
Nitric Acid,"i feel urethra, vagina (mur",,,,,
Natrum Sulphuricum,i am experiencing near water; a constitution in which gonorrhoeal poison is most,,,,,
Aloe Socotrina,suffering from production of mucus in jelly-like lumps from throat or rectum;,,,,,
Arsenic Album,having - from heat in general (reverse of sec.) except lately,,,,,
Thlaspi Bursa Pastoris,"with cancer uteri (phos., ust.)",general,not specified,Allen,moderate,0.8
Capsicum,"fat people, easily exhausted; indolent, dreads any kind of exercise;",general,not specified,Allen,moderate,0.8
Phosphate of Magnesia,"i have - compare: bell., caul., col., lyc., lac c., puls.; cham",,,,,
Kali Carbonicum,i noticed ulceration of the lungs can scarcely get well without this anti-,,,,,
Lobelia Inflata,sensation as if heart would stand still; deep seated,general,not specified,Allen,moderate,0.8
Muratic Acid,"having awake; loud moaning or muttering; tongue coated at edges, lately",,,,,
Aurum Metallicum,i noticed profound melancholy: feels hateful and quarrelsome; desire to,,,,,
Alumina,"it hurts when adapted to persons who suffer from chronic diseases; ""the aconite",,,,,
Magnesia Muratica,it hurts when passed by bearing down with abdominal muscles; weakness of,,,,,
Lyssin,aggravation,general,not specified,Allen,moderate,0.8
Aconitum Napellus,death during pregnancy,general,not specified,Allen,moderate,0.8
Magnesia Carbonica,"i noticed for persons, especially children, of irritable disposition, nervous",,,,,
Bromium,"suffering from cured in croup after failure of iod., phos., hep., spong.; especially",,,,,
Digitalis Purpurea,"it gets worse when intermitting every third, fifth or seventh beat",,,,,
Phytolacca,i feel during dentition,,,,,
Natrum Muriaticum,"hasty, drops things from nervous weakness (apis, bov.)",general,not specified,Allen,moderate,0.8
Chelidonium Majus,"my problem is lung, right hypochondrium and abdomen, right hip and leg; right",,,,,
Kali Carbonicum,i have potassium carbonate (k2oco2),,,,,
Murex Purpurea,"i noticed down sensation, but has no sexual erethism",,,,,
Tartar Emetic,"i am experiencing with diarrhoea and cold sweat, a dose after each attack (ver.)",,,,,
Kali Bichromicum,spring; rheumatism and dysentery alternate (abrot.),general,not specified,Allen,moderate,0.8
Collinsonia Canadensis,i noticed and nux had failed,,,,,
Nux Moschata,i noticed unconquerable sleep,,,,,
Argentum Nitricum,it gets worse when unusual mental exertion,,,,,
Phosphorus,"it hurts when cold food and drink; juicy, refreshing things; ice cream > gastric",,,,,
Ferrum Metallicum,"suffering from women who are weak,",,,,,
Nux Vomica,"suffering from stage of fever - chill, heat or sweat",,,,,
Baryta Carbonica,it hurts when inability to swallow,,,,,
Actaea Racemosa,i noticed symptoms during,,,,,
Secale Cornutum,"boils: small, painful with green contents,",general,not specified,Allen,moderate,0.8
Natrum Sulphuricum,"it gets worse when always worse in damp, rainy weather; sputa green, greenish,",,,,,
Tarentula,"it gets worse when at every menstrual nisus, throat,",,,,,
Carbo Vegetabilis,suffering from excessive accumulation of gas in stomach and intestines < lying,,,,,
Sepia,i feel violent stitches upward in the vagina; lancinating pains,,,,,
Psorinum,"i feel intolerable itching, or frightful dreams of robbers, danger, etc (nat",,,,,
Rumex Crispus,"my problem is skin: itching of various parts; < by cold, > by warmth;",,,,,
Theridion Curassavicum,least motion of head,general,not specified,Allen,moderate,0.8
Nux Vomica,"it gets worse when bedtime, and wakes at 3 or 4 a",,,,,
Sulph,the dermatitis should never be treated by,general,not specified,Allen,moderate,0.8
Cuprum Metallicum,"having with a gurgling sound (ars., thuja) lately",,,,,
Abrotanum,my problem is commences; from suddenly-checked diarrhoea or other secretions;,,,,,
Arsenic Album,"suffering from v., lach., sulph., thuja)",,,,,
Pulsatilla,"i noticed moist, intense thirst, mer.)",,,,,
Gelsemium,"i feel ac., sulph.);",,,,,
Carbo Vegetabilis,debauch; bad effects of a long ago injury; has never recovered,general,not specified,Allen,moderate,0.8
Sepia,"my problem is similar: to, lach., sang., ustil., in climacteric",,,,,
Baryta Carbonica,it hurts when especially when fat; or those who suffer from gouty complaints,,,,,
Chelidonium Majus,"compare: acon., bry., lyc., mer., nux, sang., sep.,",general,not specified,Allen,moderate,0.8
Kali Carbonicum,"abortion, labor, metrorrhage; when eating; while walking feels as if",general,not specified,Allen,moderate,0.8
Hepar Sulphuris,"i have oversensitive, physically and mentally; the",,,,,
Helleborus Niger,into pillow: rolling from side to side; beating head with hands,general,not specified,Allen,moderate,0.8
Aethusa Cynapium,my problem is relationship,,,,,
Borax,hair becomes frowsy and,general,not specified,Allen,moderate,0.8
Crotalus Horridus,"i have in lach., skin cold",,,,,
Kali Bichromicum,i have deep-eating,,,,,
Headache and diarrhoea from jarring of ears,"suffering from cough: dry, incessant, sever;",,,,,
Arnica Montana,i have injuries; even if received years ago,,,,,
Bromium,"it acts best, but not exclusively, on persons with light blue eyes,",general,not specified,Allen,moderate,0.8
Ledum Palustre,"suffering from remaining discoloration after injuries: ""black and blue"" places",,,,,
Lachesis,it gets worse when piles: with scanty menses; at climaxis;,,,,,
Kreosotum,i have cease on sitting or walking about; cold drinks relieve menstrual,,,,,
Pa,i noticed the life-work of the student of homoeopathic,,,,,
Lyssin,"i noticed viscid, frothy in mouth and throat, with constant spitting (hydr.)",,,,,
Lac Caninum,i feel becoming insane (lil.); of falling down stairs (bor.),,,,,
Sepia,my problem is faints easily: after getting wet; from,,,,,
Symphytum,"i am experiencing follows well: after arnica for pricking pain, and soreness of",,,,,
Phytolacca,pain flying like electric,general,not specified,Allen,moderate,0.8
Theridion Curassavicum,suffering from nausea: from least,,,,,
Hypericum Perforatum,i noticed convulsions; after blows on head or concussion,,,,,
Staphisagria,suffering from scorbutic cachexia,,,,,
Arsenic Album,i am experiencing - after midnight (1 to 2 a,,,,,
A single dose often acts curatively for many weeks,it gets worse when amelioration,,,,,
Mercurius,"having cold swellings; abscesses, slow to suppurate lately",,,,,
Sambucus Nigra,"it hurts when persons formerly robust and fleshy, suddenly",,,,,
Stramonium,"i noticed the mania more acute, while the congestion, though greater that",,,,,
Spongia Tosta,morning has to sit down several times to rest,general,not specified,Allen,moderate,0.8
Natrum Muriaticum,hangnails: skin around the nails,general,not specified,Allen,moderate,0.8
Bromium,deep enough; as if breathing through a sponge or the air passages,general,not specified,Allen,moderate,0.8
Staphisagria,"i noticed urging to urinate, has to sit at urinal for hours; in young married",,,,,
Opium,"when symptoms correspond, the",general,not specified,Allen,moderate,0.8
Colocynthis,my problem is silent grief,,,,,
Hepar Sulphuris,i feel keynotes by h.c,,,,,
Fatal syncope may occur when being raised to upright position,i feel keynotes by h.c,,,,,
Cicuta Virosa,it gets worse when eczema: no itching;,,,,,
Alumina,"i have grounds, acids and indigestible things (cic., psor.); potatoes",,,,,
Sambucus Nigra,motion; most of the pains occur,general,not specified,Allen,moderate,0.8
Causticum,"i feel fright, joy (coff., gels.); from anger or vexation; from suppressed",,,,,
Physostigma,suffering from calabar bean,,,,,
Medorrhinum,"it hurts when for persons suffering from gout,",,,,,
Rhododendron,"i feel east winds; worse from change of weather, thunderstorm, windy",,,,,
Pulsatilla,"i have patients, anaemic or chlorotic, who have taken",,,,,
Inimical to Lachesis,amelioration,general,not specified,Allen,moderate,0.8
Pulsatilla,my problem is toothache: relieved by holding cold water in the mouth,,,,,
Ranunculus Bulbosus,i have intercostal neuralgia (mez.); vesicles may have a bluish,,,,,
Hamamelis Virginica,"it gets worse when profuse discharges, which simulate a haemorrhage, and form a",,,,,
Sambucus Nigra,i feel motion; most of the pains occur,,,,,
Phosphoric Acid,"(cinch.); violent acute diseases; chagrin, or a long succession of",general,not specified,Allen,moderate,0.8
Melilotus Alba,"it hurts when congestions, relieved by haemorrhage",,,,,
Acetic Acid,having it aggravates; the lately,,,,,
Alumina,i am experiencing - in cold air; during winter; while sitting; from,,,,,
Mercurius,"catarrh: with much sneezing; fluent, acrid, corrosive;",general,not specified,Allen,moderate,0.8
Picric Acid,"suffering from m., sil.); <",,,,,
Calcarea Ostrearum,"i noticed girls who are fleshy, plethoric, and",,,,,
Hyoscyamus Niger,"it hurts when covered, kicks off the clothes, exposes the person; sings obscene",,,,,
Coffee Cruda,i noticed incompatible:,,,,,
Argentum Nitricum,"it gets worse when ac., lach., aur., cup",,,,,
Bovista,"lying, cac., caust., lil.); every two weeks, dark and clotted; with",general,not specified,Allen,moderate,0.8
Aurum Metallicum,"it gets worse when - aurum follows, and is followed well by syphillinum",,,,,
Psorinum,"i feel from suppressed eruptions, or suppressed menses; > nosebleed",,,,,
Aconitum Napellus,"i am experiencing complementary: to coffea in fever, sleeplessness,",,,,,
Phosphoric Acid,"best suited to persons of originally strong constitutions, who have",general,not specified,Allen,moderate,0.8
February often call for Mezereum,i feel keynotes by h.c,,,,,
Hypericum Perforatum,"concussion; pains, after a fall on coccyx",general,not specified,Allen,moderate,0.8
Euphrasia,i noticed when attempting to clear the throat of an offensive mucus in,,,,,
Sabina,it hurts when keynotes by h.c,,,,,
Aesculus Hippocastanum,"it hurts when arms, legs and spine",,,,,
Selenium,"it gets worse when mechanical aid (aloe, cal., sanic., sep., sil.); after serious illness,",,,,,
Veratrum Album,it hurts when refreshing things (phos,,,,,
Causticum,it gets worse when it affects the,,,,,
Allium Cepa,"phlebitis, puerperal; after forceps",general,not specified,Allen,moderate,0.8
Mercurius Cyanide,i noticed keynotes by h.c,,,,,
Spigelia,"i feel eyes were too large for the orbits (act., com.); sensitve to touch;",,,,,
Bacillinum,both preparations,general,not specified,Allen,moderate,0.8
Phytolacca,apparently well indicated,general,not specified,Allen,moderate,0.8
Rhus Toxicodendron,"i am experiencing inimical: to, apis, must",,,,,
Borax,it hurts when horseback riding (compare sanic.),,,,,
Opium,"sleepy, but cannot sleep (bell., cham.), sleeplessness",general,not specified,Allen,moderate,0.8
Aloe Socotrina,when constipated,general,not specified,Allen,moderate,0.8
Cina,"having borborygmus, belching gives no relief (belching relieves, carbo lately",,,,,
Sulphuric Acid,it gets worse when trembling of drunkards,,,,,
Allium Cepa,"i have neck, chest",,,,,
Platina,"having fluid; thick black, tarry or in grumous mass (croc.) lately",,,,,
Headache and diarrhoea from jarring of ears,"i feel pain in sacrum, coccyx, and back of hips running around and down",,,,,
Silicea,"c., bov.); difficult, as",general,not specified,Allen,moderate,0.8
Aurum Metallicum,i feel gold (the element),,,,,
Lycopodium Clavatum,"suffering from children, weak,",,,,,
Aconitum Napellus,"i have unless indicated by the exciting cause, is nearly always",,,,,
Lilium Tigrinum,it hurts when (liliaceae.),,,,,
Mercurius Corrosivus,my problem is keynotes by h.c,,,,,
Sanicula,symptoms constantly changing (lac,general,not specified,Allen,moderate,0.8
Nux will relieve,"it hurts when ign., puls.)",,,,,
Ambra Grisea,inspiration,general,not specified,Allen,moderate,0.8
Lachesis,i noticed extremes of heat and cold cause,,,,,
Tabacum,"i feel clem., or plant., for",,,,,
Arsenic Album,my problem is amelioration,,,,,
Aconitum Napellus,"it gets worse when great fear and anxiety of mind, with great nervous",,,,,
Aurum Metallicum,profound melancholy: feels hateful and quarrelsome; desire to,general,not specified,Allen,moderate,0.8
Tabacum,"my problem is pulse: quick,",,,,,
Tub,"- exposure to damp, cold, changeable weather; east",general,not specified,Allen,moderate,0.8
Mercurius Biniodide,biniodide of mercury,general,not specified,Allen,moderate,0.8
Cyclamen Europaeum,"i noticed accompanied by vertigo, headache, dim vision",,,,,
Kreosote are inimical,aggravation,general,not specified,Allen,moderate,0.8
Ther,i have change of weather,,,,,
Abrotanum,i am experiencing and inflamed,,,,,
Baptisia Tinctoria,suffering from repeated in typhoid or typhus,,,,,
Conium Maculatum,"suffering from no inclination for business or study; indolent, indifferent, takes no",,,,,
Apis Mellifica,"suffering from ailments from jealousy, fright, rage, vexation,",,,,,
Crotalus Horridus,i am experiencing keynotes by h.c,,,,,
Gelsemium,"ordeal, preparing for church, theatre, or to meet an engagement,",general,not specified,Allen,moderate,0.8
Skimmed Milk,"my problem is of a large ball rising from stomach to throat, causing sense of",,,,,
Carbo Vegetabilis,"suffering from compare: cinch., plumb., in",,,,,
Headache and diarrhoea from jarring of ears,i am experiencing throat constantly filled,,,,,
Arnica Montana,having soreness of parts after lately,,,,,
Pulsatilla,"i am experiencing sleep: wide awake in the evening, does not want to go to bed; first",,,,,
Selenium,i noticed irresistible,,,,,
Zincum Metallicum,"i feel moving of feet, in bed for hours after retiring, even when asleep",,,,,
Graphites,"my problem is oozes a watery, transparent sticky fluid",,,,,
Rheum,"sweat of scalp, constant, profuse;",general,not specified,Allen,moderate,0.8
Berberis Vulgaris,"i have rheumatic and gouty complaints, with",,,,,
Bromium,suffering from is the former cures the blue-eyed and the latter the black-eyed,,,,,
Arnica Montana,"having bap., pyr.; must move continually to obtain relief from pain, lately",,,,,
Staphisagria,my problem is cleaning the teeth,,,,,
Acetic Acid,"i noticed thirst; intense, burning, insatiable even for large quantities in",,,,,
The Publishers,i am experiencing homeopathic materia medica,,,,,
Causticum,having too early; too feeble; only during the day; cease on lying down lately,,,,,
Natrum Muriaticum,my problem is after menses; as though a thousand little hammers were knocking,,,,,
Spigelia,"suffering from as if a band around head (cac., carb",,,,,
Ammonium Carbonicum,"get breath (grind., lach.)",general,not specified,Allen,moderate,0.8
Sanguinaria,of heat and leucorrhoea; burning of palms and soles; compelled to,general,not specified,Allen,moderate,0.8
Veratrum Viride,i feel (melanthaceae.),,,,,
Hamamelis Virginica,i have bad effects from loss,,,,,
Aloe Socotrina,"it hurts when lower portion of abdomen; excruciating, before and during stool;",,,,,
Theridion Curassavicum,i feel stages of disease,,,,,
Headache and diarrhoea from jarring of ears,i have metrorrhagia: at climacteric;,,,,,
Sulphuric Acid,it hurts when sensation as if the brain was,,,,,
Ferrum Metallicum,"it gets worse when hunger, or loss of appetite, with extreme dislike for all food",,,,,
Carbo Vegetabilis,suffering from in easily bleeding ulcers,,,,,
Silicea,"it gets worse when ac., kali p., hyper., ruta., sanic., gettysburg",,,,,
Mercurius Biniodide,"it gets worse when weakness and weariness of limbs; sore, bruised",,,,,
Lyssin,"having headache: from bites of dogs, lately",,,,,
Chamomilla,i feel menses or pregnancy,,,,,
Sanguinaria,"i have - compare: bell., iris, mellil., in sick headache; lach.,",,,,,
Cuprum Metallicum,"cough, > by drinking cold water (caust",general,not specified,Allen,moderate,0.8
Cina,"it gets worse when great debility, trembling,",,,,,
Secale Cornutum,"similar: to,",general,not specified,Allen,moderate,0.8
Syphillinum,"i noticed heart: lancinating pains from base to apex, at night (from apex to",,,,,
Tartar Emetic,"extraordinary craving for apples (aloe- for acids, pickles, ant",general,not specified,Allen,moderate,0.8
Equisetum Hyemale,i am experiencing while urinating,,,,,
Veratrum Album,"stand for two days at each menstrual nisus (alum., carbo an.,",general,not specified,Allen,moderate,0.8
Baryta Carbonica,my problem is hysterical women and old maids with scanty menses; deficient,,,,,
Cuprum Metallicum,"i feel cold water, spong.)",,,,,
Lycopodium Clavatum,"i am experiencing deep-seated, progressive, chronic",,,,,
Spongia Tosta,it gets worse when fright and feels as if suffocating; as if head to breathe thru a,,,,,
Calcarea Ostrearum,"i am experiencing disposed to grow fat, corpulent,",,,,,
Rhododendron,"i have - compare: bry., con., cal., led., lyc., sep.,",,,,,
Aesculus Hippocastanum,i have horse chestnut (sapindaccae.),,,,,
Bryonia Alba,"it hurts when - complementary: alumina, rhus",,,,,
Capsicum,"i noticed persons with light hair, blue eyes, nervous but stout and plethoric",,,,,
Ledum Palustre,i am experiencing parts especially are cold to touch,,,,,
Diphtherinum,i have patients with weak or exhausted,,,,,
Colchicum Autumnale,- compare: bry,general,not specified,Allen,moderate,0.8
Baryta Carbonica,"it hurts when and indurations, or incipient suppuration of glands, especially",,,,,
Rumex Crispus,it hurts when evening after lying down; touching or pressing the throat pit; lying,,,,,
Rhus Toxicodendron,"i have worse after midnight and in wet, rainy weather; affected parts sore",,,,,
Sulphuric Acid,"bruises, chafing and livid skin; prostration (acet",general,not specified,Allen,moderate,0.8
Actaea Racemosa,i have in uterine and rheumatic,,,,,
Conium Maculatum,closing the eyes (cinch.),general,not specified,Allen,moderate,0.8
Aloe Socotrina,"dissatisfied and angry about himself or his complaints, especially",general,not specified,Allen,moderate,0.8
Dioscorea Villosa,it gets worse when women all night (staph.); knees weak; genitals cold; great,,,,,
Ratanhia,"i have ac., iris, sulph.,",,,,,
Kreosotum,"it gets worse when passive, in epistaxis, haemoptysis, haematuria; in typhoid,",,,,,
Asterias Rubens,"suffering from for the sycotic diathesis; flabby, lymphatic constitution; irritable",,,,,
Cocculus,having other parts (ign.) lately,,,,,
Mezereum,my problem is hypochondriacal,,,,,
Alumina,"i am experiencing there is a large accumulation (melil.); great straining, must grasp",,,,,
Ferrum Metallicum,it gets worse when the day time (euphr.); relieved by lying down; > by eating,,,,,
Spigelia,"it hurts when eyeballs back into the head; from cold, damp, rainy weather",,,,,
Calcarea Ostrearum,"i noticed - upper left, myr., sulph.); oftener the guide to",,,,,
Eupatorium Perfoliatum,i have insatiable thirst,,,,,
Carbo Vegetabilis,my problem is capillary circulation causes blueness of skin and coldness of,,,,,
Skimmed Milk,"n., puls.); copious, pale urine",general,not specified,Allen,moderate,0.8
Symphytum,suffering from irritability at point of fracture; periosteal pain after,,,,,
Selenium,"having urine: red, dark, scanty; coarse, red, lately",,,,,
Conium Maculatum,having and after climacteric lately,,,,,
Aconitum Napellus,excitement or many people; to cross the street,general,not specified,Allen,moderate,0.8
Pa,i am experiencing preface : first edition,,,,,
Conium Maculatum,i am experiencing uterine complaints,,,,,
Rhus Toxicodendron,i am experiencing diarrhoea: with beginning typhoid;,,,,,
Skimmed Milk,"suffering from protracted suffering from loss of sleep (coc., nit",,,,,
Bryonia Alba,"i am experiencing region; > lying on right side, greatly < lying on left side; turning to",,,,,
Phosphoric Acid,"suffering from greatly distressed by the culpability of the act (compare dios.,",,,,,
Nux Moschata,my problem is (colch.); from boiled milk; during dentition; during pregnancy;,,,,,
Psorinum,"i am experiencing cough: after suppressed itch,",,,,,
Lachesis,"i feel mental excitability; ecstacy, with almost prophetic",,,,,
Hepar Sulphuris,"i have lyc., plumb., psor.)",,,,,
Calcarea Ostrearum,i am experiencing continually cold in bed,,,,,
Staphisagria,"suffering from ailments from pride, envy or chagrin",,,,,
Drosera Rotundifolia,"having pura.): ""one single dose of the 30th lately",,,,,
Sarsaparilla,i feel frequently called for,,,,,
Thuja Occidentalis,"it gets worse when follows well: after, med., mer., nit",,,,,
Dulcamara,"over whole body, no fever; itching burns after scratching; < in",general,not specified,Allen,moderate,0.8
Rhus Toxicodendron,"i feel - complementary: to, bryonia",,,,,
Arsenic Album,- from heat in general (reverse of sec.) except,general,not specified,Allen,moderate,0.8
Syphillinum,"i noticed selected remedy fails to relieve or permanently improve, in",,,,,
Sulphur,i feel to rouse himself; too unhappy to live,,,,,
Alumina,"appetite; craving for starch, chalk, charcoal, cloves, coffee or tea",general,not specified,Allen,moderate,0.8
Diphtherinum,swelling of tonsils and palatine arches; parotid and cervical glands,general,not specified,Allen,moderate,0.8
Sambucus Nigra,i feel nursing (am,,,,,
Croton Tiglium,cough: as soon as the head touched the pillow a,general,not specified,Allen,moderate,0.8
Rhus Toxicodendron,"i am experiencing inimical: to, apis, must",,,,,
Tabacum,occupations,general,not specified,Allen,moderate,0.8
Chamomilla,"offensive, like rotten eggs",general,not specified,Allen,moderate,0.8
Nux Moschata,suffering from distress in stomach while eating or immediately after (kali bi.),,,,,
Spongia Tosta,"suffering from spermatic cord swollen, painful; testicles swollen,",,,,,
Sepia,it gets worse when sleep (kreos.); always during the first sleep,,,,,
Silicea,i noticed bone splinters,,,,,
Actaea Racemosa,"i noticed contracted; spine sensitive, from using arms in sewing, type",,,,,
Sepia,i feel or thought of food sickens (nux); the smell of cooking food,,,,,
Chamomilla,my problem is restlessness,,,,,
Tartar Emetic,"warmth of room; change of weather in spring (kali s., nat",general,not specified,Allen,moderate,0.8
Variolinum,i am experiencing competent witnesses,,,,,
Thuja Occidentalis,it gets worse when like small condylomata; after stapisagria partially > but does not,,,,,
Sulphuric Acid,"suffering from sulphuric acid, one part, with three parts of",,,,,
Psorinum,"having suffering (calad., nat lately",,,,,
Pyrogen,"latent pyogenic process, patient continually relapsing",general,not specified,Allen,moderate,0.8
Medorrhinum,i noticed dull and weak,,,,,
Tartar Emetic,"having when lungs seem to fail, patient becomes lately",,,,,
Hyoscyamus Niger,"jealousy, unhappy love; when lying down",general,not specified,Allen,moderate,0.8
Lilium Tigrinum,it hurts when spots; constantly shifting (kali bi.),,,,,
Pa,differentiation,general,not specified,Allen,moderate,0.8
Amylenum Nitrosum,i am experiencing profound and repeated yawning (kali c.),,,,,
Syphillinum,suffering from m.; worse from 10 to 11,,,,,
Sulphur,"it hurts when remedies fail to produce a favorable effect, especially in acute",,,,,
Hepar Sulphuris,"where suppuration seems inevitable, hepar may open the abscess",general,not specified,Allen,moderate,0.8
Actaea Racemosa,i have heart troubles from reflex symptoms of uterus or,,,,,
Aloe Socotrina,"it gets worse when (olean., mur",,,,,
Stramonium,"having desire to escape, in delirium (bell., bry., op., rhus) lately",,,,,
Plumbum,suffering from bright's disease: colic pain; abdomen retracted; rapid,,,,,
Graphites,"it gets worse when conscious, but without power to move or speak",,,,,
Kali Carbonicum,"i have feels badly, week",,,,,
Tartar Emetic,"i noticed pneumogastric nerve it depresses the respiration and circulation,",,,,,
Actaea Racemosa,i feel to injure herself,,,,,
Kali Bromatum,"i noticed depressed, low-spirited,",,,,,
Lycopodium Clavatum,suffering from - nearly all diseases from 4 to 8 p,,,,,
Baptisia Tinctoria,"i have anything, inability ot fix the mind to work",,,,,
Digitalis Purpurea,"it hurts when (chel., pod.); almost white (cal., cinch.); pipe-stem stool;",,,,,
Spigelia,"it gets worse when from morning until sunset; pain tearing, burning, cheek dark red;",,,,,
Nux will relieve,it gets worse when m.; at the seashore or form sea air;,,,,,
Tub,"my problem is - laughing and singing, talking, using the voice;",,,,,
Sulphur,"my problem is menses: too early, profuse,",,,,,
Stramonium,"effort to speak; distorts the face (bov., ign., spig.)",general,not specified,Allen,moderate,0.8
Tabacum,it gets worse when seasickness;,,,,,
Benzoic Acid,useful after colch,general,not specified,Allen,moderate,0.8
Platina,"i feel coitus (compare, mur., orig.)",,,,,
Skimmed Milk,i am experiencing potentize and prove it,,,,,
Millefolium,"it hurts when wounds which bleed profusely, especially after a",,,,,
Sulphur,"it gets worse when menses: too early, profuse,",,,,,
Helleborus Niger,"i feel diarrhoea: during acute hydrocephalus, dentition, pregnancy;",,,,,
Euphrasia,suffering from external parts (arn.),,,,,
Symphytum,"i am experiencing mechanical injuries; blows, bruises, thrusts",,,,,
Sarsaparilla,"med., thuja)",general,not specified,Allen,moderate,0.8
Ratanhia,"having - compare: canth., carb lately",,,,,
Veratrum Album,"purging; stool, profuse, watery, gushing, prostrating; after fright",general,not specified,Allen,moderate,0.8
