symptom,possible_condition,severity,patient_age_group,remedy_name,potency,keynote_indication,remedy_reason,suitable_for_bp_high,suitable_for_diabetic,avoid_if_allergy,dietary_restrictions,what_to_avoid,consult_doctor,source_book,additional_notes
bleeding,Severe Internal Bleeding / Hematemesis,high,adult,Crotalus Horridus,200C,"Passive dark oozing blood; blood does not coagulate; dark decomposed blood; hemorrhage from all orifices; septic state","At HIGH severity with dark non-clotting blood from multiple sites Crotalus Horridus 200C addresses the most serious hemorrhagic states. ALWAYS a medical emergency alongside. Call ambulance.",yes - emergency care needed alongside,yes - emergency,None,Nothing by mouth; rush to hospital; IV access needed,Coffee / Camphor / Mint,yes - severe bleeding is always a medical emergency; call 112,Boericke's Materia Medica,Use only while rushing to hospital; dark non-clotting blood is keynote; call 112 immediately
teething,Teething Pain in Infants,low,child,Chamomilla,30C,"Extreme irritability with teething; one cheek red one pale; nothing satisfies; wants to be carried; screams with pain","At LOW severity for teething babies Chamomilla 30C is the classic remedy. The keynote is extreme irritability where nothing satisfies the child and they want to be constantly carried. One cheek red.",yes - safe for all ages,yes - safe for all ages,Chamomile plant (very safe),Cool teething ring; cold chamomile tea; gentle gum massage,Coffee / Camphor / Mint / Heat / Anger,no,Allen's Keynotes + Boericke,One cheek red one pale with extreme irritability is pathognomonic; classic teething remedy
teething,Difficult Teething with Fever,moderate,child,Belladonna,30C,"Teething with sudden high fever; hot red face; gums hot and swollen; restless and delirious; worse from jarring","At MODERATE severity when teething causes significant fever with hot red face and gums Belladonna 30C addresses both the pain and fever. The sudden hot red presentation is keynote.",caution - monitor in high BP; generally safe,yes - safe for diabetics,Nightshade (dilution safe),Cool fluids; cool teething ring; keep child comfortable,Coffee / Camphor / Mint / Noise / Jarring / Bright light,no - monitor temperature; yes if fever above 103F,Allen's Keynotes,Sudden hot red presentation with fever during teething is Belladonna's domain
teething,Slow Difficult Teething / Delayed,high,child,Calcarea Carbonica,30C,"Very slow delayed teething; chubby sweaty child; head sweats at night; fontanelle slow to close; deficient bone development","At HIGH severity with greatly delayed or difficult teething in a chubby child with night head sweating Calcarea Carbonica 30C addresses the underlying calcium deficiency and slow development.",caution - consult first in BP patients,yes - safe for diabetics,Calcium carbonate (very safe),Calcium-rich diet; dairy; green leafy vegetables; sunlight for vitamin D,Coffee / Camphor / Mint / Cold / Damp / Overexertion,yes - significantly delayed teething needs pediatric evaluation,Allen's Keynotes + Boericke,Night sweating on head in chubby child with slow development is classic Calcarea picture
worms / parasites,Intestinal Worms in Children,low,child,Cina,30C,"Itching of nose and anus; child picks nose constantly; grinds teeth at night; irritable; capricious; dark rings under eyes","At LOW severity for suspected worms in children Cina 30C is primary. The constant nose picking anal itching and teeth grinding at night with irritability are pathognomonic keynotes.",yes - safe for BP patients,yes - safe for diabetics,Artemisia plant (dilution safe),Garlic in diet; pumpkin seeds; proper hygiene; wash hands before meals,Coffee / Camphor / Mint / Sweet food / Unhygienic food,no for mild; yes if worms confirmed by stool test,Allen's Keynotes + Boericke,Nose picking and teeth grinding at night in irritable child are keynotes; always confirm with stool test
worms / parasites,Confirmed Worm Infestation,moderate,child,Spigelia,30C,"Worm symptoms with heart palpitations; strabismus; blue rings around eyes; offensive breath; colicky pain","At MODERATE severity when worm infestation is accompanied by palpitations and colicky pain Spigelia 30C addresses both. The combination of worm symptoms with heart involvement is unique to Spigelia.",yes - safe for BP patients,yes - safe for diabetics,Spigelia plant (dilution safe),Garlic daily; pumpkin seeds; papaya seeds; proper food hygiene,Coffee / Camphor / Mint / Unhygienic food / Raw meat,no for moderate; yes if confirmed by stool examination,Boericke's Materia Medica,Worm symptoms combined with cardiac palpitations is unique keynote; get stool test
worms / parasites,Severe Parasitic Infection,high,all,Terebinthina,200C,"Severe parasitic infection with urinary symptoms; offensive urine smelling of violets; burning in kidneys; dropsy","At HIGH severity when parasitic infection has spread to urinary system Terebinthina 200C addresses both. The distinctive violet-smelling urine is pathognomonic. Must see doctor for antiparasitic treatment.",yes - safe for BP patients,yes - safe for diabetics,Turpentine (dilution safe),Plenty of water; garlic; hygienic diet; consult doctor for antiparasitic,Coffee / Camphor / Mint / Unhygienic food,yes - severe parasitic infection needs medical diagnosis and treatment,Boericke's Materia Medica,Always use alongside conventional antiparasitic treatment; urine smelling of violets is keynote
weakness after illness,Post-illness Debility,low,all,China Officinalis,30C,"Weakness after loss of vital fluids; after diarrhea fever bleeding; great debility; periodic episodes; ringing in ears","At LOW severity for weakness after any debilitating illness China 30C restores vitality. The history of fluid loss and periodicity of weakness are keynotes. The first remedy Hahnemann ever proved.",yes - safe and supports circulation,yes - safe for diabetics,Quinine (dilution safe),Iron-rich foods; dates pomegranate; rest; protein-rich diet,Coffee / Camphor / Mint / Loss of fluids / Overexertion,no,Boericke's Materia Medica,Post-fluid-loss debility is keynote; excellent for post-COVID recovery
weakness after illness,Convalescence with Exhaustion,moderate,all,Kali Phosphoricum,6X,"Mental and physical exhaustion after illness; brain fatigue; poor memory; nervous weakness; easily startled","At MODERATE severity in convalescence when mental exhaustion and nervous weakness predominate Kali Phos 6X as tissue salt is ideal. Feeds the nervous system. Three times daily for 4-6 weeks.",yes - safe and nourishes nervous system,yes - safe for diabetics,Potassium phosphate (very safe),Nutritious food; B vitamins; adequate sleep; gentle walking; reduce stress,Coffee / Camphor / Mint / Mental strain / Overwork / Late nights,no,Boericke's Materia Medica,Brain food remedy; most effective tissue salt for post-illness nervous exhaustion
weakness after illness,Severe Post-illness Prostration,high,adult,Arsenicum Album,200C,"Complete prostration after severe illness; fear of death; restlessness despite exhaustion; thirst for sips; midnight aggravation","At HIGH severity with complete prostration after a severe illness Arsenicum Album 200C addresses the deepest depletion. Restlessness with exhaustion and midnight aggravation are pathognomonic.",yes - safe and beneficial,yes - safe for diabetics,Arsenic (dilution safe),Complete rest; nutritious light food; warm drinks; someone with patient,Coffee / Camphor / Mint / Cold / Midnight,yes - severe post-illness prostration needs medical supervision,Allen's Keynotes + Boericke,Restlessness despite complete exhaustion is pathognomonic; use alongside medical care
swollen glands,Swollen Lymph Nodes - Early,low,all,Cleavers (Galium Aparine),Q (Mother Tincture),"Enlarged lymph glands; swollen neck glands; supports lymphatic drainage; chronic lymphadenopathy","At LOW severity for mildly enlarged lymph nodes Cleavers Q (10 drops in water twice daily) supports lymphatic drainage gently. Safe and effective for chronic mild lymphadenopathy.",yes - safe for BP patients,yes - safe for diabetics,Cleavers plant (very safe),Light diet; plenty of water; avoid fried food; vitamin C rich foods,Coffee / Camphor / Mint,no for mild; yes if glands growing rapidly,Boericke's Materia Medica,Best for chronic mild lymphatic swelling; supports lymphatic system
swollen glands,Inflamed Lymph Nodes with Pain,moderate,all,Belladonna,30C,"Acutely inflamed swollen glands; hot red tender; sudden onset; throbbing pain; worse from pressure and touch","At MODERATE severity with acutely inflamed tender hot lymph nodes Belladonna 30C addresses the acute inflammation. The hot red tender rapidly enlarging node with throbbing is keynote.",caution in high BP - consult; generally safe at 30C,yes - safe for diabetics,Nightshade (dilution safe),Light diet; rest; avoid tight clothing around swollen area,Coffee / Camphor / Mint / Touch / Heat / Pressure,no for moderate; yes if node persists or grows rapidly,Allen's Keynotes,Hot red tender acutely inflamed node is Belladonna's domain
swollen glands,Chronic Hard Swollen Glands,high,adult,Calcarea Fluorica,30C,"Hard stony glands; chronic indurated lymph nodes; stony hardness; no pain; chronic swelling; possible malignancy risk","At HIGH severity with chronically hard stony lymph nodes Calcarea Fluorica 30C addresses bony hard tissue changes. MUST see doctor to rule out malignancy. Hard painless lymph nodes always need investigation.",yes - safe for BP patients,yes - safe for diabetics,Calcium fluoride (very safe),Nutritious anti-inflammatory diet; turmeric; regular medical checkups,Coffee / Camphor / Mint,yes - hard painless lymph nodes ALWAYS need medical evaluation to rule out cancer,Boericke's Materia Medica,Hard stony painless glands MUST be investigated medically; never delay for hard lymph nodes
liver problems,Liver Congestion / Fatty Liver,low,adult,Chelidonium Majus,Q (Mother Tincture),"Right-sided liver pain; pain under right shoulder blade; yellow tinge to skin; bitter taste; sluggish liver","At LOW severity for liver congestion and early fatty liver Chelidonium Q (10-15 drops in water twice daily) is the primary liver remedy. Pain under right shoulder blade radiating there is keynote.",yes - safe for BP patients,yes - safe for diabetics,Celandine plant (dilution safe),No alcohol; low fat diet; avoid fried food; plenty of water; turmeric milk,Coffee / Camphor / Mint / Alcohol / Fatty food / Fried food,no for mild fatty liver; yes if jaundice develops,Boericke's Materia Medica,Pain under right shoulder blade is pathognomonic; excellent drainage remedy for liver
liver problems,Hepatitis / Liver Inflammation,moderate,adult,Phosphorus,30C,"Acute hepatitis; yellow jaundice; liver tender and enlarged; craves cold drinks; burning in liver; tall lean patient","At MODERATE severity with hepatitis and jaundice Phosphorus 30C addresses the acute inflammation. The craving for cold water and burning in the liver with tall lean constitution are keynotes.",caution in very high BP - consult; generally safe,yes - monitor; liver affects sugar metabolism,None,Strict no alcohol; low fat light diet; rest; plenty of fluids,Coffee / Camphor / Mint / Salt / Alcohol / Fatty food,yes - hepatitis needs medical diagnosis and monitoring of liver enzymes,Allen's Keynotes + Boericke,Always get liver function tests; Phosphorus is supportive alongside conventional hepatitis care
liver problems,Chronic Liver Disease / Cirrhosis Pattern,high,adult,Lycopodium Clavatum,200C,"Chronic liver disease; bloating worse 4-8 PM; right-sided; craves sweets; anticipatory anxiety; emaciation with pot belly","At HIGH severity in chronic liver disease Lycopodium 200C is a deep constitutional remedy. The 4-8 PM aggravation and right-sided complaints and bloating with pot belly are pathognomonic.",yes - safe for BP patients,caution - craves sweets; monitor blood sugar,None,Strictly no alcohol; easily digestible food; no raw food; small frequent meals,Coffee / Camphor / Mint / Alcohol / Fasting / Oysters,yes - chronic liver disease needs hepatologist care alongside homeopathy,Allen's Keynotes + Boericke,4-8 PM aggravation is the most reliable prescribing keynote; always use alongside conventional liver care
kidney problems,Mild Kidney Weakness / Proteinuria,low,adult,Berberis Vulgaris,Q (Mother Tincture),"Bubbling sensation in kidneys; radiating pain; burning urination; mild kidney discomfort; pale yellow urine","At LOW severity for mild kidney weakness and discomfort Berberis Q (10-15 drops in water twice daily) is primary. The bubbling sensation in kidneys and radiating character of pain are keynotes.",yes - safe for BP patients,yes - safe for diabetics,Barberry plant (safe),3-4 liters water daily; low salt diet; avoid red meat; lemon water; cranberry,Coffee / Camphor / Mint / Low fluid intake / Red meat / High salt,no for mild; yes if protein in urine detected,Boericke's Materia Medica,Bubbling sensation in kidney area is keynote; always get urine routine examination
kidney problems,Kidney Infection / Nephritis,moderate,adult,Cantharis,30C,"Burning cutting urination; intense kidney pain; haematuria; urging constant; burning before during and after urination","At MODERATE severity with kidney infection and burning urination Cantharis 30C is primary. The burning present before during AND after urination with haematuria are definitive keynotes.",yes - safe for BP patients,yes - safe for diabetics,Spanish fly (dilution safe),4-5 liters water daily; cranberry juice; no spicy food; rest,Coffee / Camphor / Mint / Spicy food / Alcohol / Suppression of urine,yes - kidney infection with fever and haematuria needs urgent medical care,Allen's Keynotes + Boericke,Burning before during and after urination with blood is keynote; seek medical care immediately
kidney problems,Chronic Kidney Disease / Renal Failure Pattern,high,adult,Arsenicum Album,200C,"Chronic kidney disease; great weakness; fear; restlessness; thirst for sips; oedema of extremities; midnight aggravation","At HIGH severity in chronic kidney disease with oedema and weakness Arsenicum Album 200C addresses the profound depletion and fear. ALWAYS alongside nephrologist care. Never replace dialysis with homeopathy.",caution - monitor BP carefully in kidney disease,caution - kidney disease affects sugar; monitor closely,Arsenic (dilution safe),Strict renal diet; low protein low potassium low phosphorus; fluid restriction if advised,Coffee / Camphor / Mint / High protein / High potassium / High salt,yes - ALWAYS under nephrologist supervision; never replace conventional kidney care,Allen's Keynotes + Boericke,Use as supportive therapy only; never replace conventional treatment in CKD
cholera / gastric emergency,Cholera-like Gastroenteritis,low,all,Arsenicum Album,30C,"Anxiety with gastric distress; restlessness; thirst for sips; burning diarrhea; fear; worse after midnight","At LOW severity for cholera-like gastroenteritis with anxiety Arsenicum Album 30C is primary. The anxiety fear and restlessness alongside burning gastric symptoms are keynotes. Give with ORS.",yes - safe and beneficial,yes - safe for diabetics,Arsenic (dilution safe),ORS continuously; warm water; light rice diet; complete rest,Coffee / Camphor / Mint / Cold food / Unclean water,no for mild; yes if dehydration develops,Allen's Keynotes + Boericke,Classic remedy for traveler's gastroenteritis and food poisoning
cholera / gastric emergency,Acute Cholera-like State,moderate,all,Veratrum Album,30C,"Profuse watery diarrhea with simultaneous vomiting; cold sweat on forehead; cramps in calves; collapse tendency","At MODERATE severity with the classic cholera picture of profuse diarrhea plus vomiting plus cold sweat Veratrum Album 30C is essential. Cold sweat on forehead during diarrhea is pathognomonic.",yes - emergency situation,yes - emergency situation,Veratrum plant (dilution safe),ORS urgently; IV fluids if available; rush to doctor,Coffee / Camphor / Mint,yes - moderate cholera-like state needs IV fluids and medical care,Allen's Keynotes + Boericke,Cold sweat on forehead with profuse watery stool is absolute keynote; rush to hospital
cholera / gastric emergency,Cholera / Severe Dehydration Collapse,high,all,Camphora,Q (Mother Tincture),"Sudden collapse; icy coldness of body; no thirst; cramps; face blue; first stage of cholera; voice lost","At HIGH severity in first stage of cholera with icy cold collapse Camphora Q (5 drops under tongue) is the emergency remedy while rushing to hospital. Icy coldness with cramps and blue face is keynote.",not relevant - emergency,not relevant - emergency,Camphor (dilution safe),Nothing by mouth; rush to hospital immediately; IV fluids needed,Coffee / Camphor paradoxically antidotes other remedies but IS the remedy here,yes - EMERGENCY; cholera is life threatening; call ambulance NOW,Allen's Keynotes,Give under tongue while rushing to hospital; icy cold body is keynote; this is a life-threatening emergency
paralysis / nerve weakness,Facial Paralysis / Bell's Palsy,low,adult,Causticum,30C,"Right-sided facial paralysis; drawing sensation; worse in dry cold wind; better in wet weather paradoxically","At LOW severity for facial paralysis Causticum 30C is the primary remedy. The right-sided paralysis worse in dry cold weather and the paradoxical improvement in wet weather are keynotes.",yes - safe for BP patients,yes - safe for diabetics,None,Warm food; protect face from cold wind; facial exercises; physiotherapy,Coffee / Camphor / Mint / Dry cold wind / Cold air,yes - facial paralysis needs neurological evaluation to rule out stroke,Boericke's Materia Medica,Better in wet weather is paradoxical and pathognomonic; always rule out stroke first
paralysis / nerve weakness,Partial Paralysis / Weakness of Limbs,moderate,adult,Gelsemium,30C,"Paralytic weakness of limbs; heavy drooping; trembling; anticipatory paralysis; dull confused state; no thirst","At MODERATE severity with paralytic weakness of limbs and heavy trembling Gelsemium 30C is primary. The heavy drooping limbs with trembling and dullness are pathognomonic.",yes - safe; beneficial for anxiety-driven BP,yes - safe for diabetics,None,Nutritious food; physiotherapy; gentle movement; warm environment,Coffee / Camphor / Mint / Excitement / Exertion / Cold,yes - limb weakness needs neurological evaluation,Allen's Keynotes + Boericke,Paralytic heaviness and trembling with dullness is keynote; always get neurological workup
paralysis / nerve weakness,Stroke-related Paralysis / Hemiplegia,high,adult,Arnica Montana,200C,"Post-stroke paralysis; bruised sore feeling; denies illness; bed feels hard; mental confusion after stroke","At HIGH severity in post-stroke paralysis Arnica 200C is given immediately to reduce brain swelling and bruising effect. CALL AMBULANCE FIRST. Give while waiting for emergency services.",not relevant - STROKE IS EMERGENCY; call 112,not relevant - emergency,Arnica plant (dilution safe),Give ONLY after ambulance called; complete medical care required,Coffee / Camphor / Mint,yes - STROKE IS EMERGENCY; call 112 IMMEDIATELY before giving any remedy,Allen's Keynotes,Give while waiting for ambulance ONLY; stroke requires immediate conventional emergency care
dengue fever,Early Dengue / Dengue Suspect,low,all,Eupatorium Perfoliatum,30C,"Bone-breaking pain with fever; eyeballs sore; thirst for cold water before chill; vomiting of bile; severe aching","At LOW severity when dengue is suspected with bone-breaking pain and fever Eupatorium 30C is primary. The intensity of bone-deep pain felt in every bone is the absolute keynote.",yes - safe for BP patients,yes - safe for diabetics,Eupatorium plant (dilution safe),ORS; coconut water; rest; light diet; monitor platelet count,Coffee / Camphor / Mint / Exertion / Fatigue,yes - any suspected dengue needs blood test (NS1 antigen) immediately,Boericke's Materia Medica,Always get dengue NS1 test immediately; homeopathy is supportive alongside medical monitoring
dengue fever,Confirmed Dengue with Low Platelets,moderate,all,Crotalus Horridus,30C,"Bleeding tendency with dengue; blood oozing; low platelets; hemorrhagic dengue concern; dark blood; prostration","At MODERATE severity with dengue and bleeding tendency Crotalus Horridus 30C addresses the hemorrhagic tendency. The dark oozing blood with extreme prostration are keynotes. Platelet monitoring mandatory.",yes - emergency alongside conventional care,yes - emergency alongside conventional care,Crotalus (dilution safe),ORS; coconut water; papaya leaf extract; rest; hospital monitoring,Coffee / Camphor / Mint,yes - dengue with low platelets needs hospitalization and monitoring,Boericke's Materia Medica,ALWAYS hospitalize with platelet count below 100000; homeopathy is only supportive
dengue fever,Severe Dengue / Hemorrhagic Dengue,high,all,Phosphorus,200C,"Profuse bleeding from multiple sites; bright red thin non-clotting blood; fear; burning thirst for cold; extreme prostration","At HIGH severity in hemorrhagic dengue Phosphorus 200C addresses the hemorrhagic tendency while rushing to hospital. MEDICAL EMERGENCY. Call ambulance. This is supportive only.",not relevant - emergency,not relevant - emergency,None,Nothing by mouth; rush to hospital immediately; IV fluids needed,Coffee / Camphor / Mint,yes - EMERGENCY; hemorrhagic dengue is life threatening; hospitalize immediately,Allen's Keynotes + Boericke,Use while rushing to hospital only; hemorrhagic dengue needs ICU care
typhoid fever,Early Typhoid / Enteric Fever,low,all,Baptisia Tinctoria,30C,"Typhoid-like fever; great prostration; feels scattered; body feels in pieces; stupor; foul discharges; confusion","At LOW severity when typhoid is suspected Baptisia 30C is primary. The sense that body is in pieces and the profound stupor even in early stages are keynotes. Get Widal test immediately.",yes - safe for BP patients,yes - safe for diabetics,Baptisia plant (dilution safe),ORS; light liquid diet; complete bed rest; boiled water only,Coffee / Camphor / Mint / Solid food,yes - suspected typhoid ALWAYS needs Widal test and medical care,Boericke's Materia Medica,Always get Widal test; homeopathy is supportive alongside antibiotics
typhoid fever,Confirmed Typhoid with Prostration,moderate,all,Muriatic Acid,30C,"Typhoid with great muscular debility; slides down in bed; jaw drops; tongue dry and leathery; unconscious with eyes open","At MODERATE severity in confirmed typhoid with muscular prostration and sliding down in bed Muriatic Acid 30C addresses the deep muscular debility. Sliding down in bed is pathognomonic.",yes - safe for BP patients,yes - safe for diabetics,Muriatic acid (dilution safe),ORS; IV fluids if available; light liquid diet; complete bed rest,Coffee / Camphor / Mint,yes - confirmed typhoid needs antibiotic treatment and medical supervision,Boericke's Materia Medica,Sliding down in bed and jaw dropping are pathognomonic; use alongside conventional antibiotics
typhoid fever,Severe Typhoid / Intestinal Perforation Risk,high,adult,Phosphoric Acid,200C,"Typhoid with complete mental and physical collapse; apathy; diarrhea watery painless; hair falling; emaciation","At HIGH severity in severe typhoid with complete collapse Phosphoric Acid 200C addresses the profound depletion and apathy. Watery painless diarrhea with complete indifference are keynotes. Hospitalization required.",yes - safe for BP patients,yes - safe for diabetics,Phosphoric acid (dilution safe),IV fluids; complete hospital care; nothing by mouth if perforation suspected,Coffee / Camphor / Mint,yes - SEVERE TYPHOID REQUIRES HOSPITALIZATION; never manage at home,Boericke's Materia Medica,Severe typhoid always requires hospitalization; homeopathy is adjunct only
epilepsy / convulsions,Petit Mal / Absence Seizures,low,adult,Cicuta Virosa,30C,"Epileptic convulsions with strange contortions; opisthotonos; loss of consciousness; fixed staring; locked jaw","At LOW severity in absence seizures and mild epileptic episodes Cicuta 30C is primary. Strange body contortions and opisthotonos with fixed staring are keynotes. ALWAYS continue prescribed anticonvulsants.",caution - consult in high BP; generally safe,yes - safe for diabetics,Hemlock plant (dilution safe),Regular sleep; avoid triggers; take prescribed anticonvulsant medication,Coffee / Camphor / Mint / Flashing lights / Sleep deprivation / Stress,yes - ALL seizure types need neurological evaluation and anticonvulsant therapy,Boericke's Materia Medica,NEVER stop prescribed anticonvulsants; homeopathy is only adjunct therapy
epilepsy / convulsions,Grand Mal / Tonic-Clonic Seizures,moderate,adult,Cuprum Metallicum,30C,"Violent convulsions beginning in fingers and toes; clenched thumbs; face bluish; foam at mouth; jerking","At MODERATE severity in grand mal seizures Cuprum Met 30C is used between attacks to reduce frequency. Convulsions beginning in extremities with clenched thumbs are keynotes. Never replace anticonvulsants.",yes - safe for BP patients,yes - safe for diabetics,Copper (dilution safe),Regular sleep schedule; stress management; take anticonvulsants; avoid triggers,Coffee / Camphor / Mint / Suppressed skin eruptions / Emotional excitement,yes - grand mal epilepsy needs neurology care and anticonvulsants,Boericke's Materia Medica,Use between attacks only; during attack - recovery position and call ambulance
epilepsy / convulsions,Status Epilepticus / Continuous Seizures,high,adult,Belladonna,200C,"Convulsions with high fever; violent spasms; red hot face; dilated pupils; unconscious; arching of back","At HIGH severity in febrile convulsions and status epilepticus Belladonna 200C is given while calling ambulance. The hot red face with violent spasms and arching are keynotes. CALL 112 IMMEDIATELY.",not relevant - EMERGENCY,not relevant - EMERGENCY,Nightshade (dilution safe),Nothing - call ambulance immediately; recovery position; protect from injury,Coffee / Camphor / Mint,yes - STATUS EPILEPTICUS IS EMERGENCY; call 112 IMMEDIATELY; do not delay,Allen's Keynotes,Place pellet under tongue in recovery position ONLY while waiting for ambulance; IV anticonvulsants needed urgently
depression,Mild Depression / Sadness,low,adult,Ignatia Amara,30C,"Grief and sadness; sighing; lump in throat; contradictory symptoms; hysteria; silent suffering; suppressed grief","At LOW severity for mild depression rooted in grief or emotional loss Ignatia 30C is primary. Sighing and contradictory symptoms with silent suffering are pathognomonic. Never console - worsens state.",yes - safe for BP patients,yes - safe for diabetics,Strychnine (dilution safe),Gentle social interaction; creative outlets; nature walks; avoid isolation,Coffee / Camphor / Mint / Consolation (worsens) / Tobacco / Grief reminders,no for mild; yes for moderate-severe,Allen's Keynotes + Boericke,Sighing and contradictory symptoms are keynotes; grief is the trigger; never console
depression,Moderate Depression with Hopelessness,moderate,adult,Natrum Muriaticum,30C,"Deep grief; closed off emotionally; cannot cry in front of others; worse from consolation; craves salt; dwelling on past","At MODERATE severity when depression is chronic with emotional closure and craving salt Natrum Muriaticum 30C addresses the deep suppression. Worse from consolation is definitive - never console.",yes - safe and regulates sodium,yes - safe for diabetics,None,Avoid salt excess; regular gentle exercise; sunlight; social connection,Coffee / Camphor / Mint / Consolation / Heat / Grief dwelling / Isolation,yes - moderate depression needs professional mental health support alongside,Allen's Keynotes,Worse from consolation and craves salt with inability to cry are pathognomonic
depression,Severe Depression / Suicidal Tendency,high,adult,Aurum Metallicum,200C,"Deep depression with suicidal thoughts; feels worthless; palpitations; high sense of duty; failure feeling; night aggravation","At HIGH severity with suicidal depression Aurum Met 200C addresses the deepest hopelessness. Feeling of complete failure and worthlessness with suicidal tendency are keynotes. ALWAYS WITH PSYCHIATRIST.",caution - affects cardiovascular system; consult,yes - safe for diabetics,Gold compounds (dilution safe),Safe therapeutic environment; professional psychiatric care; family support,Coffee / Camphor / Mint / Isolation / Night / Grief / Failure,yes - ALWAYS with psychiatrist; never manage suicidal depression alone,Boericke's Materia Medica,NEVER use alone for suicidal tendency; mandatory psychiatric care; call crisis helpline if needed
eczema,Dry Eczema / Atopic Dermatitis,low,all,Graphites,30C,"Eczema with thick honey-like discharge; cracks behind ears on hands and fingers; worse from warmth; sticky exudate","At LOW severity for dry eczema with sticky honey-like discharge from skin folds Graphites 30C is primary. Sticky golden discharge from cracks in skin folds is pathognomonic.",yes - safe for BP patients,yes - safe for diabetics,Graphite (dilution safe),Avoid dairy and sugar; moisturize regularly; cotton clothing; avoid harsh soaps,Coffee / Camphor / Mint / Heat / Wool / Harsh soaps / Dairy,no for mild; yes if infected,Allen's Keynotes + Boericke,Sticky honey-like discharge from skin cracks is absolute keynote
eczema,Weeping Infected Eczema,moderate,all,Mezereum,30C,"Eczema with thick leather-like crusts under which pus collects; intolerable itching; worse from heat of bed; white scabs","At MODERATE severity when eczema has thick crusty infected lesions with pus under the crusts Mezereum 30C is primary. Leather-like crusts with pus underneath are pathognomonic.",yes - safe for BP patients,yes - safe for diabetics,Daphne plant (dilution safe),Avoid scratching; cool compress; cotton clothing; hypoallergenic diet; no dairy,Coffee / Camphor / Mint / Heat / Wool / Scratching / Dairy,yes - infected eczema may need antibiotics; see doctor,Boericke's Materia Medica,Leather-like crusts with pus under them is absolute keynote; see doctor if spreading
eczema,Severe Chronic Eczema with Thickening,high,adult,Arsenicum Album,200C,"Dry rough scaly eczema; burning worse from cold; better from heat; anxiety with skin; restless at night; offensive odor","At HIGH severity with chronic severe eczema with burning better from heat Arsenicum Album 200C addresses the deep constitutional state. Burning relieved by heat is pathognomonic with anxious restless patient.",yes - safe and beneficial for anxious hypertensives,yes - safe for diabetics,Arsenic (dilution safe),Anti-inflammatory diet; no dairy or sugar; regular moisturizing; stress reduction,Coffee / Camphor / Mint / Cold / Wet / Anxiety / Night,yes - severe chronic eczema needs dermatologist alongside homeopathy,Allen's Keynotes + Boericke,Burning better from heat in skin condition is pathognomonic for Arsenicum
psoriasis,Mild Psoriasis / Early Plaques,low,adult,Arsenicum Iodatum,30C,"Dry scaly skin; falling scales; burning after scratching; psoriatic plaques beginning; thin emaciated patient","At LOW severity for early psoriatic plaques Arsenicum Iodatum 30C addresses the thin emaciated patient with burning dry scales. Often combined with Arsenicum Album for best results.",yes - safe for BP patients,yes - safe for diabetics,Arsenic compounds (dilution safe),Anti-inflammatory diet; no alcohol; regular moisturizing; avoid stress,Coffee / Camphor / Mint / Alcohol / Stress / Harsh soaps,no for mild; yes if joints affected,Boericke's Materia Medica,Thin emaciated patient with burning dry scales is keynote; works slowly over months
psoriasis,Moderate Psoriasis with Itching,moderate,adult,Sulphur,30C,"Dry rough unhealthy skin; intense itching worse from heat and scratching; burning in plaques; philosophical patient; feels hot","At MODERATE severity Sulphur 30C is the classic psoriasis remedy. The intense itching worse from heat and warmth of bed with burning are keynotes. Give ONCE WEEKLY not daily.",yes - safe for BP patients,yes - safe for diabetics,Sulphur (dilution safe),Anti-inflammatory diet; no alcohol; cool showers; no harsh soaps,Coffee / Camphor / Mint / Heat / Wool / Alcohol / Scratching,no for moderate; yes for psoriatic arthritis,Allen's Keynotes + Boericke,Give weekly not daily; worse from heat and washing are keynotes; works deeply over months
psoriasis,Severe Psoriasis / Psoriatic Arthritis,high,adult,Kali Arsenicum,30C,"Severe dry scaly eruptions; intense itching worse from warmth; joint involvement; restlessness; worse from undressing","At HIGH severity with severe psoriasis involving joints Kali Arsenicum 30C addresses both the skin and joint involvement. Intense itching worse from undressing is keynote. Dermatologist care mandatory.",yes - safe for BP patients,yes - safe for diabetics,Arsenic compounds (dilution safe),Anti-inflammatory diet; omega-3 rich food; avoid alcohol and smoking; moisturize,Coffee / Camphor / Mint / Heat / Undressing / Alcohol / Smoking,yes - psoriatic arthritis needs rheumatologist and dermatologist care,Boericke's Materia Medica,Itching worse from undressing is keynote; always use alongside dermatologist for severe psoriasis
thyroid problems,Hypothyroid / Low Thyroid,low,adult,Thyroidinum,30C,"Obesity; puffiness; cold intolerance; constipation; hair loss; dry skin; sluggish metabolism; fatigue; all suggesting low thyroid","At LOW severity for hypothyroid pattern Thyroidinum 30C is primary. Always confirm with thyroid function tests. Continue prescribed thyroid medication alongside homeopathy. Never replace levothyroxine.",yes - safe for BP patients; thyroid affects BP,yes - safe; thyroid affects sugar metabolism,Thyroid extracts (dilution safe),Low glycemic diet; avoid raw cruciferous vegetables; regular exercise; iodine-balanced diet,Coffee / Camphor / Mint / Raw cruciferous vegetables / Soy / Sedentary lifestyle,yes - ALWAYS get TSH T3 T4 tested; never replace thyroid medication with homeopathy,Boericke's Materia Medica,Always use alongside conventional thyroid treatment; never replace levothyroxine
